function,supported,frequency
\frac,false,10743
\cdot,false,8080
\begin,false,4836
\end,false,4836
{align},false,0
{aligned},false,0
{array},false,0
{matrix},false,0
\left,false,2941
\right,false,2939
\textcolor,false,2929
\Rightarrow,false,2547
\vec,false,2047
\sqrt,false,1402
\approx,false,1336
\color,false,1142
\pi,false,922
\alpha,false,789
\prime,false,732
\times,false,718
\quad,false,715
\rightarrow,false,702
\enspace,false,622
\text,false,580
\circ,false,521
\textrm,false,504
\lambda,false,482
\Leftrightarrow,false,480
\in,false,450
\sin,false,438
\int,false,437
\operatorname,false,431
\dfrac,false,353
\bar,false,315
\cos,false,308
\mu,false,296
\vert,false,289
\mathbb,false,277
\big,false,270
\mathbf,false,248
\leq,false,245
\textit,false,245
\bigr,false,245
\bigl,false,245
\overset,false,213
\pm,false,208
\sigma,false,195
\overrightarrow,false,179
\infty,false,173
\binom,false,171
\rightleftharpoons,false,161
\mathrm,false,152
\ln,false,143
\forall,false,143
\beta,false,140
\Omega,false,140
\sum,false,128
\geq,false,125
\gamma,false,116
\overline,false,115
\Delta,false,114
\omega,false,110
\hat,false,103
\varepsilon,false,101
\textbf,false,93
\lim,false,92
\neq,false,91
\cap,false,89
\exists,false,85
\xrightarrow,false,82
\euro,false,81
\underset,false,72
\P,false,71
\mid,false,70
\Phi,false,69
\ddot,false,63
\limits,false,58
\epsilon,false,57
\v,false,56
\delta,false,55
\R,false,52
\to,false,49
\textup,false,46
\underrightarrow,false,45
\arctan,false,45
\ss,false,43
\newline,false,43
\longrightarrow,false,42
\neg,false,40
\underline,false,40
\backslash,false,38
\tan,false,38
\wedge,false,36
\log,false,33
\leftrightarrow,false,31
\stackrel,false,29
\min,false,27
\varphi,false,27
\arcsin,false,26
\bold,false,23
\div,false,20
\sim,false,19
\star,false,18
\max,false,18
\setminus,false,17
\subseteq,false,16
\qquad,false,13
\Biggl,false,13
\vee,false,13
\N,false,12
\C,false,11
\rm,false,11
\eta,false,10
\arccos,false,10
\degree,false,10
\dots,false,9
\ne,false,9
\triangle,false,8
\tau,false,8
\small,false,8
\cdots,false,7
\partial,false,7
\rfloor,false,7
\tilde,false,7
\lfloor,false,7
\le,false,7
\theta,false,6
\displaystyle,false,6
\notin,false,6
\rho,false,6
\phi,false,6
\footnotesize,false,5
\rceil,false,5
\not,false,5
\S,false,5
\lceil,false,4
\xLeftrightarrow,false,4
\infin,false,4
\bullet,false,4
\overleftarrow,false,4
\nexists,false,4
\Theta,false,4
\Big,false,4
\mit,false,4
\rangle,false,3
\leftarrow,false,3
\emptyset,false,3
\dot,false,3
\bmod,false,3
\lg,false,3
\Longrightarrow,false,3
\uparrow,false,3
\subset,false,3
\ldots,false,3
\Leftarrow,false,3
\langle,false,3
\rvert,false,2
\varnothing,false,2
\boxed,false,2
\cup,false,2
\succeq,false,2
\prod,false,2
\H,false,2
\r,false,2
\leftrightharpoons,false,2
\thickapprox,false,2
\bf,false,2
\Z,false,2
\ge,false,2
\Q,false,2
\bm,false,2
\dotsc,false,2
\mathcal,false,2
\lvert,false,2
\scriptsize,false,2
\gt,false,1
\tfrac,false,1
\lbrace,false,1
\bigcap,false,1
\zeta,false,1
\Longleftrightarrow,false,1
\sqsubseteq,false,1
\nsubseteq,false,1
\imath,false,1
\supseteq,false,1
\supset,false,1
\xrightleftharpoons,false,1
\Re,false,1
\nless,false,1
\longleftrightarrow,false,1
\downarrow,false,1
\boldsymbol,false,1
\exist,false,1
\rightharpoonup,false,1
\Bigl,false,1
\Bigr,false,1
\leftharpoondown,false,1
\scriptstyle,false,1
\u,false,1
!
\!,false,0
#,false,0
\#,false,0
%,false,0
\%,false,0
&,false,0
\&,false,0
',false,0
\',false,0
(,false,0
),false,0
\(â€¦\),false,0
\,false,0
\",false,0
\$,false,0
\,,false,0
\.,false,0
\:,false,0
\;,false,0
_,false,0
\_,false,0
\`,false,0
<,false,0
\=,false,0
>,false,0
\>,false,0
[,false,0
],false,0
{,false,0
},false,0
\{,false,0
\},false,0
&#124;,false,0
\&#124;,false,0
~,false,0
\~,false,0
\|$\begin{matrix} a & b\ c & d\end{matrix}$,false,0
^,false,0
\^,false,0
\AA,false,0
\aa,false,0
\above,false,0
\abovewithdelims,false,0
\acute,false,0
\AE,false,0
\ae,false,0
\alef,false,0
\alefsym,false,0
\aleph,false,0
{alignat},false,0
{alignedat},false,0
\allowbreak,false,0
\Alpha,false,0
\amalg,false,0
\And,false,0
\and,false,0
\ang,false,0
\angl,false,0
\angle,false,0
\approxeq,false,0
\arcctg,false,0
\arctg,false,0
\arg,false,0
\argmax,false,0
\argmin,false,0
\array,false,0
\arraystretch,false,0
\Arrowvert,false,0
\arrowvert,false,0
\ast,false,0
\asymp,false,0
\atop,false,0
\atopwithdelims,false,0
\backepsilon,false,0
\backprime,false,0
\backsim,false,0
\backsimeq,false,0
\barwedge,false,0
\Bbb,false,0
\Bbbk,false,0
\bbox,false,0
\bcancel,false,0
\because,false,0
\begingroup,false,0
\Beta,false,0
\beth,false,0
\between,false,0
\bfseries,false,0
\bigcirc,false,0
\bigcup,false,0
\bigg,false,0
\Bigg,false,0
\biggl,false,0
\biggm,false,0
\Biggm,false,0
\biggr,false,0
\Biggr,false,0
\bigm,false,0
\Bigm,false,0
\bigodot,false,0
\bigominus,false,0
\bigoplus,false,0
\bigoslash,false,0
\bigotimes,false,0
\bigsqcap,false,0
\bigsqcup,false,0
\bigstar,false,0
\bigtriangledown,false,0
\bigtriangleup,false,0
\biguplus,false,0
\bigvee,false,0
\bigwedge,false,0
\blacklozenge,false,0
\blacksquare,false,0
\blacktriangle,false,0
\blacktriangledown,false,0
\blacktriangleleft,false,0
\blacktriangleright,false,0
{Bmatrix},false,0
{bmatrix},false,0
\bot,false,0
\bowtie,false,0
\Box,false,0
\boxdot,false,0
\boxminus,false,0
\boxplus,false,0
\boxtimes,false,0
\Bra,false,0
\bra,false,0
\braket,false,0
\brace,false,0
\bracevert,false,0
\brack,false,0
\breve,false,0
\buildrel,false,0
\bull,false,0
\Bumpeq,false,0
\bumpeq,false,0
\cal,false,0
\cancel,false,0
\cancelto,false,0
\Cap,false,0
{cases},false,0
\cases,false,0
{CD},false,0
\cdotp,false,0
\ce,false,0
\cee,false,0
\centerdot,false,0
\cf,false,0
\cfrac,false,0
\check,false,0
\ch,false,0
\checkmark,false,0
\Chi,false,0
\chi,false,0
\choose,false,0
\circeq,false,0
\circlearrowleft,false,0
\circlearrowright,false,0
\circledast,false,0
\circledcirc,false,0
\circleddash,false,0
\circledR,false,0
\circledS,false,0
\class,false,0
\cline,false,0
\clubs,false,0
\clubsuit,false,0
\cnums,false,0
\colon,false,0
\Colonapprox,false,0
\colonapprox,false,0
\Coloneq,false,0
\coloneq,false,0
\Coloneqq,false,0
\coloneqq,false,0
\Colonsim,false,0
\colonsim,false,0
\colorbox,false,0
\complement,false,0
\Complex,false,0
\cong,false,0
\Coppa,false,0
\coppa,false,0
\coprod,false,0
\copyright,false,0
\cosec,false,0
\cosh,false,0
\cot,false,0
\cotg,false,0
\coth,false,0
\cr,false,0
\csc,false,0
\cssId,false,0
\ctg,false,0
\cth,false,0
\Cup,false,0
\curlyeqprec,false,0
\curlyeqsucc,false,0
\curlyvee,false,0
\curlywedge,false,0
\curvearrowleft,false,0
\curvearrowright,false,0
\dag,false,0
\Dagger,false,0
\dagger,false,0
\daleth,false,0
\Darr,false,0
\dArr,false,0
\darr,false,0
{darray},false,0
\dashleftarrow,false,0
\dashrightarrow,false,0
\dashv,false,0
\dbinom,false,0
\dblcolon,false,0
{dcases},false,0
\ddag,false,0
\ddagger,false,0
\ddddot,false,0
\dddot,false,0
\ddots,false,0
\DeclareMathOperator,false,0
\def,false,0
\definecolor,false,0
\deg,false,0
\det,false,0
\Digamma,false,0
\digamma,false,0
\diagdown,false,0
\diagup,false,0
\Diamond,false,0
\diamond,false,0
\diamonds,false,0
\diamondsuit,false,0
\dim,false,0
\displaylines,false,0
\divideontimes,false,0
\Doteq,false,0
\doteq,false,0
\doteqdot,false,0
\dotplus,false,0
\dotsb,false,0
\dotsi,false,0
\dotsm,false,0
\dotso,false,0
\doublebarwedge,false,0
\doublecap,false,0
\doublecup,false,0
\Downarrow,false,0
\downdownarrows,false,0
\downharpoonleft,false,0
\downharpoonright,false,0
{drcases},false,0
\edef,false,0
\ell,false,0
\else,false,0
\em,false,0
\emph,false,0
\empty,false,0
\enclose,false,0
\endgroup,false,0
\Epsilon,false,0
\eqalign,false,0
\eqalignno,false,0
\eqcirc,false,0
\Eqcolon,false,0
\eqcolon,false,0
{equation},false,0
{eqnarray},false,0
\Eqqcolon,false,0
\eqqcolon,false,0
\eqref,false,0
\eqsim,false,0
\eqslantgtr,false,0
\eqslantless,false,0
\equiv,false,0
\Eta,false,0
\eth,false,0
\exp,false,0
\expandafter,false,0
\fallingdotseq,false,0
\fbox,false,0
\fcolorbox,false,0
\fi,false,0
\Finv,false,0
\flat,false,0
\frak,false,0
\frown,false,0
\futurelet,false,0
\Game,false,0
\Gamma,false,0
{gather},false,0
{gathered},false,0
\gcd,false,0
\gdef,false,0
\geneuro,false,0
\geneuronarrow,false,0
\geneurowide,false,0
\genfrac,false,0
\geqq,false,0
\geqslant,false,0
\gets,false,0
\gg,false,0
\ggg,false,0
\gggtr,false,0
\gimel,false,0
\global,false,0
\gnapprox,false,0
\gneq,false,0
\gneqq,false,0
\gnsim,false,0
\grave,false,0
\gtrdot,false,0
\gtrapprox,false,0
\gtreqless,false,0
\gtreqqless,false,0
\gtrless,false,0
\gtrsim,false,0
\gvertneqq,false,0
\Harr,false,0
\hArr,false,0
\harr,false,0
\hbar,false,0
\hbox,false,0
\hdashline,false,0
\hearts,false,0
\heartsuit,false,0
\hfil,false,0
\hfill,false,0
\hline,false,0
\hom,false,0
\hookleftarrow,false,0
\hookrightarrow,false,0
\hphantom,false,0
\href,false,0
\hskip,false,0
\hslash,false,0
\hspace,false,0
\htmlClass,false,0
\htmlData,false,0
\htmlId,false,0
\htmlStyle,false,0
\huge,false,0
\Huge,false,0
\i,false,0
\idotsint,false,0
\iddots,false,0
\if,false,0
\iff,false,0
\ifmode,false,0
\ifx,false,0
\iiiint,false,0
\iiint,false,0
\iint,false,0
\Im,false,0
\image,false,0
\impliedby,false,0
\implies,false,0
\includegraphics,false,0
\inf,false,0
\injlim,false,0
\intercal,false,0
\intop,false,0
\Iota,false,0
\iota,false,0
\isin,false,0
\it,false,0
\itshape,false,0
\j,false,0
\jmath,false,0
\Join,false,0
\Kappa,false,0
\kappa,false,0
\KaTeX,false,0
\ker,false,0
\kern,false,0
\Ket,false,0
\ket,false,0
\Koppa,false,0
\koppa,false,0
\L,false,0
\l,false,0
\Lambda,false,0
\label,false,0
\land,false,0
\lang,false,0
\Larr,false,0
\lArr,false,0
\larr,false,0
\large,false,0
\Large,false,0
\LARGE,false,0
\LaTeX,false,0
\lBrace,false,0
\lbrack,false,0
\ldotp,false,0
\leadsto,false,0
\LeftArrow,false,0
\leftarrowtail,false,0
\leftharpoonup,false,0
\leftleftarrows,false,0
\leftrightarrows,false,0
\leftrightsquigarrow,false,0
\leftroot,false,0
\leftthreetimes,false,0
\leqalignno,false,0
\leqq,false,0
\leqslant,false,0
\lessapprox,false,0
\lessdot,false,0
\lesseqgtr,false,0
\lesseqqgtr,false,0
\lessgtr,false,0
\lesssim,false,0
\let,false,0
\lgroup,false,0
\lhd,false,0
\liminf,false,0
\limsup,false,0
\ll,false,0
\llap,false,0
\llbracket,false,0
\llcorner,false,0
\Lleftarrow,false,0
\lll,false,0
\llless,false,0
\lmoustache,false,0
\lnapprox,false,0
\lneq,false,0
\lneqq,false,0
\lnot,false,0
\lnsim,false,0
\long,false,0
\Longleftarrow,false,0
\longleftarrow,false,0
\longmapsto,false,0
\looparrowleft,false,0
\looparrowright,false,0
\lor,false,0
\lower,false,0
\lozenge,false,0
\lparen,false,0
\Lrarr,false,0
\lrArr,false,0
\lrarr,false,0
\lrcorner,false,0
\lq,false,0
\Lsh,false,0
\lt,false,0
\ltimes,false,0
\lVert,false,0
\lvertneqq,false,0
\maltese,false,0
\mapsto,false,0
\mathbin,false,0
\mathchoice,false,0
\mathclap,false,0
\mathclose,false,0
\mathellipsis,false,0
\mathfrak,false,0
\mathinner,false,0
\mathit,false,0
\mathllap,false,0
\mathnormal,false,0
\mathop,false,0
\mathopen,false,0
\mathord,false,0
\mathpunct,false,0
\mathrel,false,0
\mathrlap,false,0
\mathring,false,0
\mathscr,false,0
\mathsf,false,0
\mathsterling,false,0
\mathstrut,false,0
\mathtip,false,0
\mathtt,false,0
\matrix,false,0
\mbox,false,0
\md,false,0
\mdseries,false,0
\measuredangle,false,0
\medspace,false,0
\mho,false,0
\middle,false,0
\mkern,false,0
\mmlToken,false,0
\mod,false,0
\models,false,0
\moveleft,false,0
\moveright,false,0
\mp,false,0
\mskip,false,0
\mspace,false,0
\Mu,false,0
\multicolumn,false,0
{multiline},false,0
\multimap,false,0
\nabla,false,0
\natnums,false,0
\natural,false,0
\negmedspace,false,0
\ncong,false,0
\nearrow,false,0
\negthickspace,false,0
\negthinspace,false,0
\newcommand,false,0
\newenvironment,false,0
\Newextarrow,false,0
\ngeq,false,0
\ngeqq,false,0
\ngeqslant,false,0
\ngtr,false,0
\ni,false,0
\nleftarrow,false,0
\nLeftarrow,false,0
\nLeftrightarrow,false,0
\nleftrightarrow,false,0
\nleq,false,0
\nleqq,false,0
\nleqslant,false,0
\nmid,false,0
\nobreak,false,0
\nobreakspace,false,0
\noexpand,false,0
\nolimits,false,0
\normalfont,false,0
\normalsize,false,0
\notag,false,0
\notni,false,0
\nparallel,false,0
\nprec,false,0
\npreceq,false,0
\nRightarrow,false,0
\nrightarrow,false,0
\nshortmid,false,0
\nshortparallel,false,0
\nsim,false,0
\nsubseteqq,false,0
\nsucc,false,0
\nsucceq,false,0
\nsupseteq,false,0
\nsupseteqq,false,0
\ntriangleleft,false,0
\ntrianglelefteq,false,0
\ntriangleright,false,0
\ntrianglerighteq,false,0
\Nu,false,0
\nu,false,0
\nVDash,false,0
\nVdash,false,0
\nvDash,false,0
\nvdash,false,0
\nwarrow,false,0
\O,false,0
\o,false,0
\odot,false,0
\OE,false,0
\oe,false,0
\officialeuro,false,0
\oiiint,false,0
\oiint,false,0
\oint,false,0
\oldstyle,false,0
\Omicron,false,0
\omicron,false,0
\ominus,false,0
\oplus,false,0
\or,false,0
\oslash,false,0
\otimes,false,0
\over,false,0
\overbrace,false,0
\overbracket,false,0
\overgroup,false,0
\overleftharpoon,false,0
\overleftrightarrow,false,0
\overlinesegment,false,0
\overparen,false,0
\Overrightarrow,false,0
\overrightharpoon,false,0
\overwithdelims,false,0
\owns,false,0
\pagecolor,false,0
\parallel,false,0
\part,false,0
\perp,false,0
\phantom,false,0
\phase,false,0
\Pi,false,0
{picture},false,0
\pitchfork,false,0
\plim,false,0
\plusmn,false,0
\pmatrix,false,0
{pmatrix},false,0
\pmb,false,0
\pmod,false,0
\pod,false,0
\pounds,false,0
\Pr,false,0
\prec,false,0
\precapprox,false,0
\preccurlyeq,false,0
\preceq,false,0
\precnapprox,false,0
\precneqq,false,0
\precnsim,false,0
\precsim,false,0
\projlim,false,0
\propto,false,0
\providecommand,false,0
\psi,false,0
\Psi,false,0
\pu,false,0
\raise,false,0
\raisebox,false,0
\rang,false,0
\Rarr,false,0
\rArr,false,0
\rarr,false,0
\rBrace,false,0
\rbrace,false,0
\rbrack,false,0
{rcases},false,0
\real,false,0
\Reals,false,0
\reals,false,0
\ref,false,0
\relax,false,0
\renewcommand,false,0
\renewenvironment,false,0
\require,false,0
\restriction,false,0
\rgroup,false,0
\rhd,false,0
\Rho,false,0
\rightarrowtail,false,0
\rightharpoondown,false,0
\rightleftarrows,false,0
\rightrightarrows,false,0
\rightsquigarrow,false,0
\rightthreetimes,false,0
\risingdotseq,false,0
\rlap,false,0
\rmoustache,false,0
\root,false,0
\rotatebox,false,0
\rparen,false,0
\rq,false,0
\rrbracket,false,0
\Rrightarrow,false,0
\Rsh,false,0
\rtimes,false,0
\Rule,false,0
\rule,false,0
\rVert,false,0
\Sampi,false,0
\sampi,false,0
\sc,false,0
\scalebox,false,0
\scr,false,0
\scriptscriptstyle,false,0
\sdot,false,0
\searrow,false,0
\sec,false,0
\sect,false,0
\setlength,false,0
\sf,false,0
\sharp,false,0
\shortmid,false,0
\shortparallel,false,0
\shoveleft,false,0
\shoveright,false,0
\sideset,false,0
\Sigma,false,0
\simeq,false,0
\sinh,false,0
\sixptsize,false,0
\sh,false,0
\skew,false,0
\skip,false,0
\sl,false,0
\smallfrown,false,0
\smallint,false,0
{smallmatrix},false,0
\smallsetminus,false,0
\smallsmile,false,0
\smash,false,0
\smile,false,0
\smiley,false,0
\sout,false,0
\Space,false,0
\space,false,0
\spades,false,0
\spadesuit,false,0
\sphericalangle,false,0
{split},false,0
\sqcap,false,0
\sqcup,false,0
\square,false,0
\sqsubset,false,0
\sqsupset,false,0
\sqsupseteq,false,0
\Stigma,false,0
\stigma,false,0
\strut,false,0
\style,false,0
\sub,false,0
{subarray},false,0
\sube,false,0
\Subset,false,0
\subseteqq,false,0
\subsetneq,false,0
\subsetneqq,false,0
\substack,false,0
\succ,false,0
\succapprox,false,0
\succcurlyeq,false,0
\succnapprox,false,0
\succneqq,false,0
\succnsim,false,0
\succsim,false,0
\sup,false,0
\supe,false,0
\Supset,false,0
\supseteqq,false,0
\supsetneq,false,0
\supsetneqq,false,0
\surd,false,0
\swarrow,false,0
\tag,false,0
\tag,false,0
\tanh,false,0
\Tau,false,0
\tbinom,false,0
\TeX,false,0
\textasciitilde,false,0
\textasciicircum,false,0
\textbackslash,false,0
\textbar,false,0
\textbardbl,false,0
\textbraceleft,false,0
\textbraceright,false,0
\textcircled,false,0
\textdagger,false,0
\textdaggerdbl,false,0
\textdegree,false,0
\textdollar,false,0
\textellipsis,false,0
\textemdash,false,0
\textendash,false,0
\textgreater,false,0
\textless,false,0
\textmd,false,0
\textnormal,false,0
\textquotedblleft,false,0
\textquotedblright,false,0
\textquoteleft,false,0
\textquoteright,false,0
\textregistered,false,0
\textsc,false,0
\textsf,false,0
\textsl,false,0
\textsterling,false,0
\textstyle,false,0
\texttip,false,0
\texttt,false,0
\textunderscore,false,0
\textvisiblespace,false,0
\tg,false,0
\th,false,0
\therefore,false,0
\thetasym,false,0
\thicksim,false,0
\thickspace,false,0
\thinspace,false,0
\Tiny,false,0
\tiny,false,0
\toggle,false,0
\top,false,0
\triangledown,false,0
\triangleleft,false,0
\trianglelefteq,false,0
\triangleq,false,0
\triangleright,false,0
\trianglerighteq,false,0
\tt,false,0
\twoheadleftarrow,false,0
\twoheadrightarrow,false,0
\Uarr,false,0
\uArr,false,0
\uarr,false,0
\ulcorner,false,0
\underbrace,false,0
\underbracket,false,0
\undergroup,false,0
\underleftarrow,false,0
\underleftrightarrow,false,0
\underlinesegment,false,0
\underparen,false,0
\unicode,false,0
\unlhd,false,0
\unrhd,false,0
\up,false,0
\Uparrow,false,0
\Updownarrow,false,0
\updownarrow,false,0
\upharpoonleft,false,0
\upharpoonright,false,0
\uplus,false,0
\uproot,false,0
\upshape,false,0
\Upsilon,false,0
\upsilon,false,0
\upuparrows,false,0
\urcorner,false,0
\url,false,0
\utilde,false,0
\varcoppa,false,0
\varDelta,false,0
\varGamma,false,0
\varinjlim,false,0
\varkappa,false,0
\varLambda,false,0
\varliminf,false,0
\varlimsup,false,0
\varOmega,false,0
\varPhi,false,0
\varPi,false,0
\varpi,false,0
\varprojlim,false,0
\varpropto,false,0
\varPsi,false,0
\varPsi,false,0
\varrho,false,0
\varSigma,false,0
\varsigma,false,0
\varstigma,false,0
\varsubsetneq,false,0
\varsubsetneqq,false,0
\varsupsetneq,false,0
\varsupsetneqq,false,0
\varTheta,false,0
\vartheta,false,0
\vartriangle,false,0
\vartriangleleft,false,0
\vartriangleright,false,0
\varUpsilon,false,0
\varXi,false,0
\vcentcolon,false,0
\vcenter,false,0
\Vdash,false,0
\vDash,false,0
\vdash,false,0
\vdots,false,0
\veebar,false,0
\verb,false,0
\Vert,false,0
\vfil,false,0
\vfill,false,0
\vline,false,0
{Vmatrix},false,0
{vmatrix},false,0
\vphantom,false,0
\Vvdash,false,0
\weierp,false,0
\widecheck,false,0
\widehat,false,0
\wideparen,false,0
\widetilde,false,0
\wp,false,0
\wr,false,0
\xcancel,false,0
\xdef,false,0
\Xi,false,0
\xi,false,0
\xhookleftarrow,false,0
\xhookrightarrow,false,0
\xLeftarrow,false,0
\xleftarrow,false,0
\xleftharpoondown,false,0
\xleftharpoonup,false,0
\xleftrightarrow,false,0
\xleftrightharpoons,false,0
\xlongequal,false,0
\xmapsto,false,0
\xRightarrow,false,0
\xrightharpoondown,false,0
\xrightharpoonup,false,0
\xtofrom,false,0
\xtwoheadleftarrow,false,0
\xtwoheadrightarrow,false,0
\yen,false,0
\Zeta,false,0
